Date,Prediction
2020-01-01,136040.95336916923
2020-02-01,91530.97295418961
2020-03-01,126322.50199351301
2020-04-01,81453.08424645968
2020-05-01,92430.46151564017
2020-06-01,97137.16684048621
2020-07-01,85990.66556078795
2020-08-01,108836.13142066046
2020-09-01,175676.78597513225
2020-10-01,133190.57551587053
2020-11-01,97759.93784313861
2020-12-01,45892.83362555708
2021-01-01,70829.66803552542
2021-02-01,27279.799746019486
2021-03-01,61930.234064925186
2021-04-01,16588.442466397646
2021-05-01,27652.524935348632
2021-06-01,32796.00414543392
2021-07-01,21279.87061903049
2021-08-01,44172.140611484465
2021-09-01,111365.81124030134
2021-10-01,68924.72173653977
2021-11-01,33229.711116728555
2021-12-01,-19303.966373722582
