Date,Prediction
2021-01-01,1107.3798961859743
2021-02-01,967.8989558987829
2021-03-01,1157.159149625568
2021-04-01,1036.8557390953242
2021-05-01,1033.9108562438234
2021-06-01,1039.2027204296348
2021-07-01,1118.8568548705996
2021-08-01,1025.1242518006509
2021-09-01,1062.536701363921
2021-10-01,1113.6719268206584
2021-11-01,1021.8769052774052
2021-12-01,959.3060619449343
2022-01-01,1006.5662370748447
2022-02-01,843.9557929011837
2022-03-01,1011.1636059878701
2022-04-01,949.6395139803532
2022-05-01,939.5177933861617
2022-06-01,915.1148115002482
2022-07-01,998.7474631936129
2022-08-01,937.7800336125277
2022-09-01,954.4975525526494
2022-10-01,982.6864763051666
2022-11-01,907.4784147935092
2022-12-01,780.8245231921896
